"Status:","Trạng thái:",""
"Auto-Sync:","Tự động đồng bộ:",""
"Refreshing...","Đang làm mới...",""
"Refresh Items","Làm mới danh sách hàng",""
"Refreshing items...","Đang làm mới hàng hoá...",""
"Refresh items list","Làm mới danh sách hàng",""
"Empty","Trống",""
"Syncing","Đang đồng bộ",""
"Ready","Sẵn sàng",""
"Never","Không bao giờ",""
"Cache empty","Cache trống",""
"Cache syncing","Đang đồng bộ cache",""
"Cache ready","Cache đã sẵn sàng",""
"Access your point of sale system","Truy cập hệ thống POS của bạn",""
"Your cart is empty","Giỏ hàng đang trống",""
"Cart Items","Danh sách trong giỏ",""
"Clear","Xoá",""
"Last 7 Days","7 ngày gần đây",""
"Last 30 Days","30 ngày gần đây",""
"All Status","Tất cả trạng thái",""
"Partly Paid","Thanh toán một phần",""
"Overdue","Quá hạn",""
"Negative Stock","Tồn âm",""
"Cart","Giỏ hàng",""
"Welcome to POS Next","Chào mừng đến POS Next",""
"Please open a shift to start making sales","Vui lòng mở ca để bắt đầu bán hàng",""
"Clear Cart?","Xoá giỏ hàng?",""
"Remove all {0} items from cart?","Xoá toàn bộ {0} mặt hàng khỏi giỏ?",""
"Clear All","Xoá tất cả",""
"Sign Out Confirmation","Xác nhận đăng xuất",""
"Your Shift is Still Open!","Ca làm việc của bạn vẫn đang mở!",""
"Close your shift first to save all transactions properly","Hãy đóng ca trước để đảm bảo tất cả giao dịch được lưu đúng",""
"Close Shift & Sign Out","Đóng ca và đăng xuất",""
"Skip & Sign Out","Bỏ qua và đăng xuất",""
"Sign Out?","Đăng xuất?",""
"You will be logged out of POS Next","Bạn sẽ bị đăng xuất khỏi POS Next",""
"Sign Out","Đăng xuất",""
"Signing Out...","Đang đăng xuất...",""
"Invoice Created Successfully","Tạo hoá đơn thành công",""
"Invoice {0} created successfully!","Hoá đơn {0} đã được tạo thành công!",""
"Total: {0}","Tổng: {0}",""
"An unexpected error occurred.","Đã xảy ra lỗi không mong muốn.",""
"Delete Invoice","Xoá hoá đơn",""
"Try Again","Thử lại",""
"Tax mode updated. Cart recalculated with new tax settings.","Chế độ thuế đã cập nhật. Giỏ hàng được tính lại theo thiết lập mới.",""
"Discount settings changed. Cart recalculated.","Cài đặt chiết khấu đã thay đổi. Giỏ hàng được tính lại.",""
"Prices are now tax-inclusive. This will apply to new items added to cart.","Giá hiện tại đã bao gồm thuế (áp dụng cho các mặt hàng thêm mới).",""
"Prices are now tax-exclusive. This will apply to new items added to cart.","Giá hiện tại không bao gồm thuế (áp dụng cho các mặt hàng thêm mới).",""
"Negative stock sales are now allowed","Cho phép bán khi tồn kho âm",""
"Negative stock sales are now restricted","Không cho phép bán khi tồn kho âm",""
"Credit Sale","Bán chịu",""
"Write Off Change","Xử lý làm tròn/tiền lẻ",""
"Write Off","Xoá/ghi giảm",""
"Written Off","Đã ghi giảm",""
"Max","Tối đa",""
"Partial Payment","Thanh toán một phần",""
"Silent Print","In tự động",""
"{0} settings applied immediately","Đã áp dụng ngay cài đặt {0}",""
"You can now start making sales","Bạn có thể bắt đầu bán hàng",""
"Shift closed successfully","Đóng ca thành công",""
"Insufficient Stock","Không đủ tồn kho",""
"Item: {0}","Mặt hàng: {0}",""
"""{0}"" cannot be added to cart. Bundle is out of stock. Allow Negative Stock is disabled.","Không thể thêm ""{0}"" vào giỏ. Gói hàng đã hết, và không cho phép tồn kho âm.",""
"""{0}"" cannot be added to cart. Item is out of stock. Allow Negative Stock is disabled.","Không thể thêm ""{0}"" vào giỏ. Mặt hàng đã hết, và không cho phép tồn kho âm.",""
"{0} selected","Đã chọn {0}",""
"Please add items to cart before proceeding to payment","Vui lòng thêm hàng vào giỏ trước khi thanh toán",""
"Please select a customer before proceeding","Vui lòng chọn khách hàng trước khi tiếp tục",""
"Invoice saved offline. Will sync when online","Hoá đơn đã lưu ở chế độ ngoại tuyến. Sẽ đồng bộ khi online.",""
"Unknown","Không xác định",""
"Invoice {0} created and sent to printer","Hoá đơn {0} đã được tạo và gửi tới máy in",""
"Invoice {0} created but print failed","Hoá đơn {0} đã tạo nhưng in thất bại",""
"Invoice {0} created successfully","Hoá đơn {0} đã được tạo thành công",""
"All items removed from cart","Đã xoá toàn bộ hàng trong giỏ",""
"{0} added to cart","Đã thêm {0} vào giỏ",""
"{0} ({1}) added to cart","Đã thêm {0} ({1}) vào giỏ",""
"Failed to process selection. Please try again.","Xử lý lựa chọn thất bại. Vui lòng thử lại.",""
"Return invoice {0} created successfully","Phiếu trả hàng {0} đã tạo thành công",""
"Creating return for invoice {0}","Đang tạo phiếu trả cho hoá đơn {0}",""
"{0} created and selected","Đã tạo và chọn {0}",""
"All cached data has been cleared successfully","Đã xoá sạch dữ liệu cache thành công",""
"Failed to clear cache. Please try again.","Xoá cache thất bại. Vui lòng thử lại.",""
"Your point of sale system is ready to use.","Hệ thống POS của bạn đã sẵn sàng sử dụng.",""
"Shift Status","Trạng thái ca làm việc",""
"Shift is Open","Ca đang mở",""
"<strong>POS Profile:<strong> {0}","<strong>Cấu hình POS:<strong> {0}",""
"<strong>Company:<strong>","<strong>Công ty:<strong>",""
"<strong>Opened:<strong>","<strong>Thời gian mở:<strong>",""
"Start Sale","Bắt đầu bán",""
"No Active Shift","Không có ca đang hoạt động",""
"You need to open a shift before you can start making sales.","Bạn cần mở ca trước khi bắt đầu bán hàng.",""
"System Test","Kiểm tra hệ thống",""
"Test Connection","Kiểm tra kết nối",""
"✓ Connection successful: {0}","✓ Kết nối thành công: {0}",""
"✗ Connection failed: {0}","✗ Kết nối thất bại: {0}",""
"Confirm Sign Out","Xác nhận đăng xuất",""
"Active Shift Detected","Phát hiện ca đang mở",""
"You have an active shift open. Would you like to:","Bạn đang có một ca đang mở. Bạn muốn:",""
"Are you sure you want to sign out of POS Next?","Bạn có chắc muốn đăng xuất khỏi POS Next không?",""
"Sign Out Only","Chỉ đăng xuất",""
"TAX INVOICE","HOÁ ĐƠN THUẾ",""
"Invoice #:","Số hoá đơn:",""
"Date:","Ngày:",""
"Customer:","Khách hàng:",""
"Status:","Trạng thái:",""
"PARTIAL PAYMENT","THANH TOÁN MỘT PHẦN",""
"(FREE)","(MIỄN PHÍ)",""
"Subtotal:","Tạm tính:",""
"Tax:","Thuế:",""
"TOTAL:","TỔNG CỘNG:",""
"Total Paid:","Tổng đã thanh toán:",""
"Change:","Tiền thừa:",""
"BALANCE DUE:","CÒN PHẢI THU:",""
"Thank you for your business!","Cảm ơn Quý khách!",""
"Invoice - {0}","Hoá đơn - {0}",""
"Offline invoice deleted successfully","Đã xoá hoá đơn ngoại tuyến thành công",""
"Failed to delete offline invoice","Xoá hoá đơn ngoại tuyến thất bại",""
"Cannot sync while offline","Không thể đồng bộ khi đang ngoại tuyến",""
"{0} invoice(s) synced successfully","Đã đồng bộ thành công {0} hoá đơn",""
"Loading customers for offline use...","Đang tải dữ liệu khách hàng để dùng ngoại tuyến...",""
"Data is ready for offline use","Dữ liệu đã sẵn sàng cho chế độ ngoại tuyến",""
"Some data may not be available offline","Một số dữ liệu có thể không dùng được khi ngoại tuyến",""
"POS is offline without cached data. Please connect to sync.","POS đang ngoại tuyến và không có dữ liệu cache. Vui lòng kết nối để đồng bộ.",""
"{0} applied successfully","Đã áp dụng {0} thành công",""
"Discount has been removed from cart","Đã gỡ chiết khấu khỏi giỏ hàng",""
"Add items to the cart before applying an offer.","Hãy thêm hàng vào giỏ trước khi áp dụng khuyến mãi.",""
"Your cart doesn't meet the requirements for this offer.","Giỏ hàng của bạn chưa đáp ứng điều kiện của chương trình khuyến mãi này.",""
"Failed to apply offer. Please try again.","Áp dụng khuyến mãi thất bại. Vui lòng thử lại.",""
"Offer has been removed from cart","Đã gỡ khuyến mãi khỏi giỏ hàng",""
"Failed to update cart after removing offer.","Cập nhật giỏ hàng sau khi gỡ khuyến mãi thất bại.",""
"Unit changed to {0}","Đã đổi đơn vị sang {0}",""
"Failed to update UOM. Please try again.","Cập nhật đơn vị tính thất bại. Vui lòng thử lại.",""
"{0} updated successfully","{0} đã được cập nhật thành công",""
"Failed to update item. Please try again.","Cập nhật mặt hàng thất bại. Vui lòng thử lại.",""
"{0}h {1}m {2}s","{0}g {1}p {2}g",""
"Sync Complete","Đồng bộ xong",""
"Search by phone: {0}","Tìm theo số điện thoại: {0}",""
"Search by email: {0}","Tìm theo email: {0}",""
"Create new customer: {0}","Tạo khách hàng mới: {0}",""
"From {0}","Từ {0}",""
"Until {0}","Đến {0}",""
"Validation Error","Lỗi kiểm tra dữ liệu",""
"Permission Denied","Không được phép truy cập",""
"Not Found","Không tìm thấy",""
"Server Error","Lỗi máy chủ",""
"Not enough stock available in the warehouse.\n\nPlease reduce the quantity or check stock availability.","Không đủ tồn kho trong kho.\n\nVui lòng giảm số lượng hoặc kiểm tra lại tồn kho.",""
"Pricing Error","Lỗi giá bán",""
"Customer Error","Lỗi khách hàng",""
"Tax Configuration Error","Lỗi cấu hình thuế",""
"Payment Error","Lỗi thanh toán",""
"Naming Series Error","Lỗi mẫu đánh số chứng từ",""
"Connection Error","Lỗi kết nối",""
"Unable to connect to server. Check your internet connection.","Không thể kết nối tới máy chủ. Vui lòng kiểm tra kết nối internet.",""
"Duplicate Entry","Bản ghi trùng lặp",""
"Error Report - POS Next","Báo cáo lỗi - POS Next",""
"Title: {0}","Tiêu đề: {0}",""
"Type: {0}","Loại: {0}",""
"Message: {0}","Thông điệp: {0}",""
"Technical: {0}","Kỹ thuật: {0}",""
"Timestamp: {0}","Thời điểm: {0}",""
"User: {0}","Người dùng: {0}",""
"POS Profile: {0}","Cấu hình POS: {0}",""
"Partial Payments","Các khoản thanh toán một phần",""
"Manage invoices with pending payments","Quản lý các hoá đơn còn đang nợ thanh toán",""
"{0} invoice - {1} outstanding","{0} hoá đơn - còn nợ {1}",""
"{0} invoices - {1} outstanding","{0} hoá đơn - còn nợ {1}",""
"Loading invoices...","Đang tải hoá đơn...",""
"No Partial Payments","Không có thanh toán một phần",""
"All invoices are either fully paid or unpaid","Tất cả hoá đơn đều đã thanh toán đủ hoặc chưa thanh toán",""
"Add Payment","Thêm thanh toán",""
"Payment History","Lịch sử thanh toán",""
"Failed to load partial payments","Tải danh sách thanh toán một phần thất bại",""
"Payment added successfully","Thêm thanh toán thành công",""
"Failed to add payment","Thêm thanh toán thất bại",""
"Open POS Shift","Mở ca POS",""
"Select POS Profile","Chọn cấu hình POS",""
"No POS Profiles available. Please contact your administrator.","Không có cấu hình POS nào. Vui lòng liên hệ quản trị viên.",""
"Change Profile","Đổi cấu hình",""
"Opening Balance (Optional)","Số dư đầu ca (tuỳ chọn)",""
"No payment methods configured for this POS Profile","Chưa cấu hình phương thức thanh toán cho cấu hình POS này",""
"Existing Shift Found","Đã phát hiện ca đang mở",""
"You have an open shift. Would you like to resume it or close it and open a new one?","Bạn đang có ca mở. Bạn muốn tiếp tục ca đó hay đóng và mở ca mới?",""
"<strong>POS Profile:</strong> {0}","<strong>Cấu hình POS:</strong> {0}",""
"<strong>Opened:</strong> {0}","<strong>Thời gian mở:</strong> {0}",""
"Resume Shift","Tiếp tục ca",""
"Close & Open New","Đóng và mở ca mới",""
"Back","Quay lại",""
"At least {0} items required","Cần ít nhất {0} mặt hàng",""
"Maximum {0} items allowed for this offer","Tối đa {0} mặt hàng được phép cho ưu đãi này",""
"Minimum cart value of {0} required","Giá trị giỏ hàng tối thiểu phải đạt {0}",""
"Maximum cart value exceeded ({0})","Giá trị giỏ hàng vượt quá giới hạn ({0})",""
"Cart does not contain eligible items for this offer","Giỏ hàng không có mặt hàng phù hợp với ưu đãi này",""
"Cart does not contain items from eligible groups","Giỏ hàng không chứa mặt hàng thuộc các nhóm được áp dụng",""
"Cannot save an empty cart as draft","Không thể lưu giỏ hàng trống dưới dạng nháp",""
"Invoice saved as draft successfully","Đã lưu hoá đơn dưới dạng nháp thành công",""
"Failed to save draft","Lưu hoá đơn nháp thất bại",""
"Draft invoice loaded successfully","Đã tải hoá đơn nháp thành công",""
"Failed to load draft","Tải hoá đơn nháp thất bại",""
"Close POS Shift","Đóng ca POS",""
"Loading shift data...","Đang tải dữ liệu ca...",""
"Calculating totals and reconciliation...","Đang tính tổng và đối soát...",""
"Duration","Thời lượng",""
"Total Sales","Tổng doanh số",""
"{0} invoices","{0} hoá đơn",""
"Net Amount","Giá trị ròng",""
"Before tax","Trước thuế",""
"Items Sold","Số lượng hàng đã bán",""
"Total items","Tổng số mặt hàng",""
"Tax Collected","Thuế đã thu",""
"Total tax","Tổng tiền thuế",""
"No Sales During This Shift","Không có giao dịch bán hàng trong ca này",""
"No invoices were created. Closing amounts should match opening amounts.","Không có hoá đơn nào được tạo. Số tiền cuối ca phải khớp với đầu ca.",""
"Invoice Details","Chi tiết hoá đơn",""
"{0} transactions • {1}","{0} giao dịch • {1}",""
"N/A","Không có",""
"Total:","Tổng:",""
"Payment Reconciliation","Đối soát thanh toán",""
"✓ Shift Closed","✓ Đã đóng ca",""
"Total Variance","Tổng chênh lệch",""
"Enter actual amount for {0}","Nhập số tiền thực tế cho {0}",""
"Expected: <span class=""font-medium"">{0}</span>","Kỳ vọng: <span class=""font-medium"">{0}</span>",""
"✓ Balanced","✓ Cân bằng",""
"Over {0}","Dư {0}",""
"Short {0}","Thiếu {0}",""
"Opening","Đầu ca",""
"Shift start","Bắt đầu ca",""
"Expected","Kỳ vọng",""
"No sales","Không có bán hàng",""
"Actual Amount *","Số tiền thực tế *",""
"Final Amount","Số tiền cuối cùng",""
"Count & enter","Đếm và nhập",""
"Cash Over","Thừa tiền mặt",""
"Cash Short","Thiếu tiền mặt",""
"You have more than expected.","Số tiền thực tế lớn hơn số tiền kỳ vọng.",""
"You have less than expected.","Số tiền thực tế ít hơn số tiền kỳ vọng.",""
"Total Expected","Tổng số tiền kỳ vọng",""
"Total Actual","Tổng số tiền thực tế",""
"Net Variance","Chênh lệch ròng",""
"Tax Summary","Tóm tắt thuế",""
"Total Tax Collected","Tổng thuế đã thu",""
"Error Closing Shift","Lỗi khi đóng ca",""
"Dismiss","Đóng",""
"Failed to Load Shift Data","Tải dữ liệu ca thất bại",""
"Please enter all closing amounts","Vui lòng nhập đầy đủ số tiền cuối ca",""
"✓ Shift closed successfully","✓ Đã đóng ca thành công",""
"Closing Shift...","Đang đóng ca...",""
"{0}h {1}m","{0}g {1}p",""
"{0}m","{0}p",""
"-- Select --","-- Chọn --",""
"Select Customer","Chọn khách hàng",""
"Search and select a customer for the transaction","Tìm và chọn khách hàng cho giao dịch",""
"Search customers by name, mobile, or email...","Tìm khách hàng theo tên, số điện thoại hoặc email...",""
"Search customers","Tìm khách hàng",""
"⭐ Recent & Frequent","⭐ Gần đây & Thường xuyên",""
"{0} of {1} customers","{0} trên {1} khách hàng",""
"• Use ↑↓ to navigate, Enter to select","• Dùng ↑↓ để di chuyển, Enter để chọn",""
"Loading customers...","Đang tải danh sách khách hàng...",""
"No customers available","Không có khách hàng nào",""
"Create your first customer to get started","Hãy tạo khách hàng đầu tiên để bắt đầu",""
"No results for ""{0}""","Không tìm thấy kết quả cho ""{0}""",""
"Try a different search term or create a new customer","Hãy thử từ khoá khác hoặc tạo khách hàng mới",""
"+ Create New Customer","+ Tạo khách hàng mới",""
"All Items","Tất cả mặt hàng",""
"Syncing catalog in background... {0} items cached","Đang đồng bộ danh mục ở nền... Đã cache {0} mặt hàng",""
"Search items","Tìm hàng hóa",""
"Barcode Scanner: ON (Click to disable)","Máy quét mã vạch: BẬT (bấm để tắt)",""
"Barcode Scanner: OFF (Click to enable)","Máy quét mã vạch: TẮT (bấm để bật)",""
"Disable barcode scanner","Tắt máy quét mã vạch",""
"Enable barcode scanner","Bật máy quét mã vạch",""
"Auto-Add: ON - Press Enter to add items to cart","Tự động thêm: BẬT - Nhấn Enter để thêm hàng vào giỏ",""
"Auto-Add: OFF - Click to enable automatic cart addition on Enter","Tự động thêm: TẮT - Bấm để bật tự động thêm khi nhấn Enter",""
"Disable auto-add","Tắt chế độ tự động thêm",""
"Enable auto-add","Bật chế độ tự động thêm",""
"Auto","Tự động",""
"Grid View","Dạng lưới",""
"Switch to grid view","Chuyển sang dạng lưới",""
"List View","Dạng danh sách",""
"Switch to list view","Chuyển sang dạng danh sách",""
"Sorted by {0} A-Z","Sắp xếp theo {0} A-Z",""
"Sorted by {0} Z-A","Sắp xếp theo {0} Z-A",""
"Sort items","Sắp xếp mặt hàng",""
"Sort Items","Sắp xếp mặt hàng",""
"No Sorting","Không sắp xếp",""
"Loading items...","Đang tải mặt hàng...",""
"No results for {0} in {1}","Không tìm thấy {0} trong {1}",""
"No results in {0}","Không có kết quả trong {0}",""
"No results for {0}","Không tìm thấy kết quả cho {0}",""
"No items available","Không có mặt hàng nào",""
"{0}: {1} {2}","{0}: {1} {2}",""
"Nos","Cái",""
